Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,,,,,,
2020 Alicante CH F,W vs Martinez,4.3,4.5,4.1,50.70%,55.60%,60.00%,66.70%,,,,,,
2020 Barcelona CH F,W vs Dzumhur,4.8,5.2,4.3,53.00%,51.40%,57.10%,50.00%,,,,,,
2020 Roland Garros Q1,L vs Vukic,3.6,3.7,3.5,44.90%,60.00%,58.80%,46.20%,,,,,,
2020 Cordenons CH F,L vs Zapata Miralles,4.5,4.6,4.3,37.80%,57.70%,50.00%,18.80%,,,,,,
2020 Trieste CH F,W vs Bonadio,3.8,3.5,4,48.40%,69.70%,66.70%,75.00%,,,,,,
2020 Trieste CH SF,W vs Musetti,3.8,3.7,3.9,50.50%,57.10%,40.90%,33.30%,,,,,,
2020 ATP Rio de Janeiro R16,L vs Coria,4.2,3.9,4.4,44.00%,53.70%,56.50%,68.40%,,,,,,
2020 ATP Rio de Janeiro R32,W vs Ramos,4.2,4.6,3.9,47.30%,47.60%,61.80%,60.00%,,,,,,
2019 Murcia CH R32,W vs Martinez,4.5,4.7,4.2,52.10%,57.50%,58.80%,14.30%,,,,,,
2019 Villena CH R64,W vs Sinner,4.3,4.3,4.3,53.20%,58.20%,47.10%,46.20%,,,,,,
