Match,Result,Net Freq,Net W%
2024 Miami R64,W vs Carballes Baena,30.70%,77.40%
2024 Indian Wells F,W vs Medvedev,14.90%,71.40%
2024 Indian Wells SF,W vs Sinner,9.60%,64.30%
2024 Indian Wells QF,W vs Zverev,7.80%,87.50%
2024 Indian Wells R16,W vs Marozsan,8.40%,66.70%
2024 Indian Wells R32,W vs Auger Aliassime,11.50%,72.70%
2024 Indian Wells R64,W vs Arnaldi,17.30%,75.90%
2024 Buenos Aires SF,L vs Jarry,6.60%,66.70%
2024 Buenos Aires QF,W vs Vavassori,20.90%,71.40%
2024 Buenos Aires R16,W vs Ugo Carabelli,19.00%,65.40%
2024 Australian Open QF,L vs Zverev,14.60%,73.50%
2024 Australian Open R16,W vs Kecmanovic,14.40%,77.30%
2023 Tour Finals SF,L vs Djokovic,11.70%,61.50%
2023 Tour Finals RR,L vs Zverev,13.80%,61.50%
2023 Tour Finals RR,W vs Medvedev,25.90%,82.80%
2023 Tour Finals RR,W vs Rublev,5.60%,100.00%
2023 Paris R32,L vs Safiullin,14.20%,68.80%
2023 Shanghai R16,L vs Dimitrov,12.80%,71.40%
2023 Beijing SF,L vs Sinner,12.30%,88.20%
2023 Beijing QF,W vs Ruud,9.80%,69.20%
2023 US Open SF,L vs Medvedev,24.80%,75.40%
2023 US Open QF,W vs Zverev,16.10%,75.00%
2023 US Open R16,W vs Arnaldi,24.40%,62.50%
2023 US Open R32,W vs Evans,24.80%,81.40%
2023 US Open R64,W vs Harris,24.00%,68.10%
2023 US Open R128,W vs Koepfer,12.50%,81.80%
2023 Cincinnati F,L vs Djokovic,8.00%,76.20%
2023 Cincinnati SF,W vs Hurkacz,13.10%,69.20%
2023 Cincinnati QF,W vs Purcell,9.90%,73.70%
2023 Canada QF,L vs Paul,9.70%,77.80%
2023 Canada R16,W vs Hurkacz,11.60%,79.20%
2023 Wimbledon F,W vs Djokovic,11.40%,63.20%
2023 Wimbledon SF,W vs Medvedev,20.80%,75.80%
2023 Wimbledon QF,W vs Rune,14.80%,75.00%
2023 Wimbledon R16,W vs Berrettini,10.20%,73.90%
2023 Wimbledon R32,W vs Jarry,8.10%,79.20%
2023 Wimbledon R64,W vs Muller,13.10%,83.30%
2023 Wimbledon R128,W vs Chardy,4.20%,85.70%
2023 Queen's Club F,W vs De Minaur,15.60%,73.70%
2023 Queen's Club SF,W vs Korda,13.70%,87.50%
2023 Queen's Club QF,W vs Dimitrov,10.20%,53.80%
2023 Queen's Club R16,W vs Lehecka,9.50%,91.70%
2023 Queen's Club R32,W vs Rinderknech,22.10%,68.90%
2023 Roland Garros SF,L vs Djokovic,12.30%,67.90%
2023 Roland Garros QF,W vs Tsitsipas,10.60%,66.70%
2023 Roland Garros R16,W vs Musetti,17.60%,79.30%
2023 Roland Garros R32,W vs Shapovalov,9.10%,73.30%
2023 Roland Garros R128,W vs Cobolli,9.40%,73.30%
2023 Rome R32,L vs Marozsan,11.70%,56.30%
2023 Rome R64,W vs Ramos,15.30%,58.80%
2023 Madrid F,W vs Struff,6.70%,76.90%
2023 Madrid SF,W vs Coric,14.20%,76.50%
2023 Madrid QF,W vs Khachanov,7.00%,70.00%
2023 Madrid R16,W vs Zverev,13.90%,92.90%
2023 Madrid R64,W vs Ruusuvuori,7.60%,61.50%
2023 Barcelona F,W vs Tsitsipas,12.90%,76.90%
2023 Barcelona SF,W vs Evans,14.00%,71.40%
2023 Miami SF,L vs Sinner,9.70%,71.40%
2023 Miami QF,W vs Fritz,9.00%,60.00%
2023 Miami R16,W vs Paul,12.90%,87.50%
2023 Miami R32,W vs Lajovic,16.70%,81.00%
2023 Indian Wells F,W vs Medvedev,12.40%,91.70%
2023 Indian Wells SF,W vs Sinner,11.10%,68.80%
2023 Indian Wells QF,W vs Auger Aliassime,13.60%,68.40%
2023 Indian Wells R32,W vs Griekspoor,14.20%,90.00%
2023 Indian Wells R64,W vs Kokkinakis,8.70%,77.80%
2023 Rio De Janeiro F,L vs Norrie,10.90%,62.50%
2023 Rio De Janeiro SF,W vs Jarry,6.90%,61.50%
2023 Rio De Janeiro R32,W vs Alves,6.80%,66.70%
2023 Buenos Aires F,W vs Norrie,19.70%,75.00%
2023 Buenos Aires SF,W vs Zapata Miralles,11.30%,72.70%
2023 Buenos Aires QF,W vs Lajovic,16.50%,80.00%
2023 Buenos Aires R16,W vs Djere,7.30%,45.50%
2022 Paris R16,W vs Dimitrov,2.80%,100.00%
2022 Paris R32,W vs Nishioka,11.40%,83.30%
2022 Basel SF,L vs Auger Aliassime,11.00%,54.50%
2022 Basel R16,W vs Van De Zandschulp,14.80%,64.70%
2022 Basel R32,W vs Draper,19.90%,80.00%
2022 Astana R32,L vs Goffin,21.20%,48.30%
2022 US Open F,W vs Ruud,20.10%,68.00%
2022 US Open SF,W vs Tiafoe,11.80%,78.40%
2022 US Open QF,W vs Sinner,8.60%,63.60%
2022 US Open R16,W vs Cilic,10.90%,67.70%
2022 US Open R32,W vs Brooksby,16.80%,67.90%
2022 Cincinnati QF,L vs Norrie,17.90%,76.20%
2022 Cincinnati R32,W vs Mcdonald,13.80%,84.60%
2022 Canada R32,L vs Paul,8.60%,68.20%
2022 Umag F,L vs Sinner,4.20%,57.10%
2022 Umag SF,W vs Zeppieri,13.10%,79.30%
2022 Hamburg F,L vs Musetti,20.50%,72.50%
2022 Hamburg SF,W vs Molcan,14.30%,77.80%
2022 Hamburg R32,W vs Kuhn,9.10%,64.70%
2022 Wimbledon R16,L vs Sinner,6.10%,56.30%
2022 Roland Garros QF,L vs Zverev,16.30%,72.10%
2022 Roland Garros R64,W vs Ramos,13.60%,72.90%
2022 Madrid F,W vs Zverev,8.20%,85.70%
2022 Madrid SF,W vs Djokovic,11.30%,90.00%
2022 Madrid QF,W vs Nadal,12.50%,72.20%
2022 Barcelona F,W vs Carreno Busta,3.20%,66.70%
2022 Barcelona SF,W vs De Minaur,14.10%,67.50%
2022 Barcelona QF,W vs Tsitsipas,14.10%,70.80%
2022 Monte Carlo R32,L vs Korda,9.10%,60.90%
2022 Miami F,W vs Ruud,19.10%,70.40%
2022 Miami SF,W vs Hurkacz,12.00%,85.00%
2022 Miami QF,W vs Kecmanovic,19.40%,89.70%
2022 Miami R16,W vs Tsitsipas,10.00%,80.00%
2022 Indian Wells SF,L vs Nadal,13.50%,75.00%
2022 Indian Wells R16,W vs Monfils,7.30%,100.00%
2022 Indian Wells R32,W vs Bautista Agut,12.60%,81.80%
2022 Rio de Janeiro F,W vs Schwartzman,6.10%,83.30%
2022 Rio de Janeiro SF,W vs Fognini,4.20%,50.00%
2022 Rio de Janeiro QF,W vs Berrettini,8.50%,100.00%
2022 Rio de Janeiro R16,W vs Delbonis,6.90%,55.60%
2022 Rio de Janeiro R32,W vs Munar,16.60%,72.00%
2022 Australian Open R32,L vs Berrettini,8.80%,67.90%
2021 NextGen Finals F,W vs Korda,10.20%,66.70%
2021 NextGen Finals SF,W vs Baez,13.30%,58.30%
2021 NextGen Finals RR,W vs Rune,19.60%,80.00%
2021 NextGen Finals RR,W vs Nakashima,10.40%,91.70%
2021 Paris R16,L vs Gaston,20.50%,50.00%
2021 Paris R32,W vs Sinner,9.10%,80.00%
2021 Paris R64,W vs Herbert,12.80%,73.30%
2021 Vienna R32,W vs Evans,18.50%,60.00%
2021 Indian Wells R64,L vs Murray,13.20%,61.50%
2021 US Open R16,W vs Gojowczyk,4.80%,92.90%
2021 US Open R32,W vs Tsitsipas,9.20%,63.30%
2021 US Open R128,W vs Norrie,9.40%,75.00%
2021 Umag F,W vs Gasquet,12.50%,76.90%
2021 Umag R16,W vs Martin,26.00%,80.80%
2021 Umag R32,W vs Pouille,17.60%,57.10%
2021 Wimbledon R64,L vs Medvedev,15.10%,59.10%
2021 Madrid R32,L vs Nadal,7.20%,33.30%
2021 Miami R128,L vs Ruusuvuori,10.20%,72.20%
2021 Australian Open R128,W vs Van De Zandschulp,9.20%,68.80%
2020 Alicante CH F,W vs Martinez,14.20%,84.20%
2020 Barcelona CH F,W vs Dzumhur,11.00%,77.80%
2020 Roland Garros Q1,L vs Vukic,10.90%,77.30%
2020 Cordenons CH F,L vs Zapata Miralles,6.30%,80.00%
2020 Trieste CH F,W vs Bonadio,5.50%,100.00%
2020 Trieste CH SF,W vs Musetti,12.00%,60.90%
2020 ATP Rio de Janeiro R16,L vs Coria,15.10%,79.30%
2020 ATP Rio de Janeiro R32,W vs Ramos,8.90%,80.80%
2019 Murcia CH R32,W vs Martinez,20.40%,67.70%
2019 Villena CH R64,W vs Sinner,6.80%,81.80%
